short_desc,statisticcat_desc,source_desc,group_desc,CV (%),commodity_desc,domaincat_desc,state_name,country_code,load_time,sector_desc,asd_desc,prodn_practice_desc,zip_5,watershed_code,class_desc,watershed_desc,agg_level_desc,end_code,Value,state_ansi,week_ending,county_code,begin_code,county_name,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,country_name,asd_code,location_desc,state_fips_code,reference_period_desc,state_alpha,county_ansi
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (111),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"380,337,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,12.7,CROP TOTALS,NAICS CLASSIFICATION: (1111),NEW MEXICO,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"128,631,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,6.5,CROP TOTALS,NAICS CLASSIFICATION: (1111),NEW MEXICO,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"87,681,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,2.5,CROP TOTALS,NAICS CLASSIFICATION: (1111),NEW MEXICO,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"91,157,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1111),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"86,584,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2007,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,NAICS CLASSIFICATION: (1111),NEW MEXICO,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"45,639,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2002,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11111),NEW MEXICO,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,                 (D),35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(H),CROP TOTALS,NAICS CLASSIFICATION: (11111),NEW MEXICO,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"120,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11111),NEW MEXICO,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,                 (D),35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11112),NEW MEXICO,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,                 (D),35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2012,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(D),CROP TOTALS,NAICS CLASSIFICATION: (11113),NEW MEXICO,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,                 (D),35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2022,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,(H),CROP TOTALS,NAICS CLASSIFICATION: (11113),NEW MEXICO,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,,00000000,ALL CLASSES,,STATE,00,"63,000",35,,,00,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,2017,$,,UNITED STATES,,NEW MEXICO,35,YEAR,NM,
