ANSI,Period,Start Year,End Year,Intercept (b0),Slope (b1),Data Points
53,2012-2016,2012,2016,48228142.72,-67108864.0,35
53,2017-2021,2017,2021,165057058.8235,-0.0,34
53,2022-2026,2022,2026,149398228.6019,89478485.3333,35
55,1997-2001,1997,2001,-5707081.4871,268435456.0,34
55,2002-2006,2002,2006,19178975.3788,33554432.0,34
55,2007-2011,2007,2011,48648514.2857,-0.0,35
55,2012-2016,2012,2016,,,32
55,2017-2021,2017,2021,,,34
55,2022-2026,2022,2026,93234242.4242,0.0,33
57,1997-2001,1997,2001,18642751.9644,22369621.3333,36
57,2002-2006,2002,2006,15614799.92,16777216.0,36
57,2007-2011,2007,2011,83859941.3689,67108864.0,36
57,2012-2016,2012,2016,27961316.7086,-134217728.0,35
57,2017-2021,2017,2021,37957053.6018,-13421772.8,36
57,2022-2026,2022,2026,50308645.3067,22369621.3333,36
59,1997-2001,1997,2001,,,34
59,2002-2006,2002,2006,,,33
59,2007-2011,2007,2011,,,33
59,2012-2016,2012,2016,,,32
59,2017-2021,2017,2021,-14021211.68,-67108864.0,34
59,2022-2026,2022,2026,,,33
61,1997-2001,1997,2001,2797429.44,67108864.0,34
61,2002-2006,2002,2006,-9037841.7412,-67108864.0,34
61,2007-2011,2007,2011,,,33
61,2012-2016,2012,2016,,,33
61,2017-2021,2017,2021,41117742.8571,-0.0,35
61,2022-2026,2022,2026,60621588.2353,0.0,34
63,1997-2001,1997,2001,,,34
63,2002-2006,2002,2006,,,33
63,2007-2011,2007,2011,,,31
63,2012-2016,2012,2016,35912277.9294,-89478485.3333,34
63,2017-2021,2017,2021,21181641.7318,-33554432.0,34
63,2022-2026,2022,2026,34609898.7482,33554432.0,34
65,1997-2001,1997,2001,,,33
65,2002-2006,2002,2006,39547787.8788,-0.0,33
65,2007-2011,2007,2011,47441681.137,-19173961.1429,31
65,2012-2016,2012,2016,,,32
65,2017-2021,2017,2021,,,32
65,2022-2026,2022,2026,,,32
67,1997-2001,1997,2001,20227913.3176,33554432.0,34
67,2002-2006,2002,2006,-71069832.6965,-201326592.0,34
67,2007-2011,2007,2011,29077833.1106,-33554432.0,34
67,2012-2016,2012,2016,,,34
67,2017-2021,2017,2021,,,33
67,2022-2026,2022,2026,,,33
69,1997-2001,1997,2001,-19389858.7388,67108864.0,34
69,2002-2006,2002,2006,35066454.5455,-0.0,33
69,2007-2011,2007,2011,,,32
69,2012-2016,2012,2016,,,33
69,2017-2021,2017,2021,62852000.0,0.0,33
69,2022-2026,2022,2026,100752878.7879,-0.0,33
71,1997-2001,1997,2001,,,32
71,2002-2006,2002,2006,4446974.5961,33554432.0,31
71,2007-2011,2007,2011,,,32
71,2012-2016,2012,2016,,,32
71,2017-2021,2017,2021,,,33
71,2022-2026,2022,2026,,,33
